date,category_id,group_id,productId,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
2026-06-29,1,1,15084,0.25,0.49,1.46,0.71,,Foil
2026-06-29,1,1,15085,0.01,0.25,7.89,0.22,,Normal
2026-06-29,1,1,15085,0.25,0.5,2.21,0.36,,Foil
2026-06-29,1,1,15086,0.01,0.25,3.0,0.04,,Normal
2026-06-29,1,1,15086,0.22,0.52,1.23,0.52,0.43,Foil
2026-06-29,1,1,15087,0.01,0.25,4.07,0.07,,Normal
2026-06-29,1,1,15087,0.31,0.49,0.76,0.31,0.49,Foil
2026-06-29,1,1,15088,0.05,0.25,3.0,0.17,,Normal
2026-06-29,1,1,15088,0.76,0.93,3.5,0.83,,Foil
2026-06-29,1,1,15089,29.36,33.03,48.76,29.92,,Normal
2026-06-29,1,1,15089,100.0,159.74,262.29,89.99,,Foil
2026-06-29,1,1,15090,0.01,0.4,3.0,0.26,,Normal
2026-06-29,1,1,15090,1.21,2.09,12.99,,,Foil
2026-06-29,1,1,15091,0.03,0.3,4.0,0.12,,Normal
2026-06-29,1,1,15091,0.25,0.52,1.31,0.5,,Foil
2026-06-29,1,1,15092,0.02,0.26,6.99,0.11,0.18,Normal
2026-06-29,1,1,15092,1.21,4.91,14.99,9.99,4.92,Foil
2026-06-29,1,1,15093,0.01,0.25,7.87,0.05,,Normal
2026-06-29,1,1,15093,0.15,0.5,1.95,0.48,0.6,Foil
2026-06-29,1,1,15094,0.11,0.39,1.59,0.32,,Normal
2026-06-29,1,1,15094,0.67,0.78,2.15,0.8,,Foil
2026-06-29,1,1,15095,0.01,0.25,999.0,0.06,,Normal
2026-06-29,1,1,15095,0.25,0.49,1.48,0.45,,Foil
2026-06-29,1,1,15096,0.1,0.37,3.93,0.32,0.31,Normal
2026-06-29,1,1,15096,0.59,0.86,1.72,0.6,,Foil
2026-06-29,1,1,15097,0.01,0.27,1.79,0.15,,Normal
2026-06-29,1,1,15097,0.2,0.5,1.16,0.43,,Foil
2026-06-29,1,1,15098,0.12,0.44,8.99,0.34,0.22,Normal
2026-06-29,1,1,15098,0.81,2.04,3.54,2.25,,Foil
2026-06-29,1,1,15099,0.99,1.49,9.99,1.55,0.99,Normal
2026-06-29,1,1,15099,3.99,4.72,5.99,3.62,,Foil
2026-06-29,1,1,15100,0.02,0.29,4.99,0.11,,Normal
2026-06-29,1,1,15100,1.55,3.78,46.05,4.98,46.04,Foil
2026-06-29,1,1,15101,0.05,0.25,4.99,0.09,,Normal
